id,campus,building,device_name,device_ip,vms_id,grp_serial,dev_serial,dch_ch,vms_ip,vms_ch,geo_pos,layer,floor
(1271, None, None, '통/창 2F 내부11_151.242', '172.18.151.242', 100371, 1, 1106, 0, '10.236.1.101', '26', None, None, None)
(1272, None, None, '통/창 2F 내부10_151.241', '172.18.151.241', 100371, 1, 1107, 0, '10.236.1.101', '28', None, None, None)
(1273, None, None, '통/창 1F 외부 하역장', '172.18.151.230', 100371, 1, 1108, 0, '10.236.1.101', '29', None, None, None)
(1274, None, None, '통/창 1F 내부 하역장_151.231', '172.18.151.231', 100371, 1, 1109, 0, '10.236.1.101', '30', None, None, None)
(1275, None, None, 'M11/12 1F 행복쉼터 회의실_176.11', '172.18.176.11', 100371, 1, 1110, 0, '10.236.1.104', '28', None, None, None)
(1278, None, None, '2캠 외부 주차타워 출입구 펜스_161.45', '172.18.161.45', 100371, 1, 1111, 0, '10.236.1.101', '31', None, None, None)
(1279, None, None, '2캠 후문옆 펜스_161.105', '172.18.161.105', 100371, 1, 1112, 0, '10.236.1.103', '76', None, None, None)
(1282, None, None, 'M11/12 6F 건강증진센터(IN)_176.126', '172.18.176.126', 100371, 1, 1113, 0, '10.236.1.104', '61', None, None, None)
(1283, None, None, 'M11/12 6F 건강증진센터(OUT)_176.125', '172.18.176.125', 100371, 1, 1114, 0, '10.236.1.104', '65', None, None, None)
(1285, None, None, '1캠 정문상담실_151.127', '172.18.151.127', 100371, 1, 1115, 0, '10.236.1.104', '52', None, None, None)
(1290, None, None, 'MaskShop_1F 남측 사무실1_158.10', '172.18.158.10', 100371, 1, 1116, 0, '10.236.1.104', '55', None, None, None)
(1291, None, None, 'MaskShop_1F 남측 사무실2_158.12', '172.18.158.12', 100371, 1, 1117, 0, '10.236.1.104', '56', None, None, None)
(1292, None, None, 'MaskShop_1F 남동측 외곽출입문_158.13', '172.18.158.13', 100371, 1, 1118, 0, '10.236.1.104', '57', None, None, None)
(1293, None, None, 'MaskShop_1F AIR LOCK_158.14', '172.18.158.14', 100371, 1, 1119, 0, '10.236.1.104', '58', None, None, None)
(1294, None, None, 'MaskShop_1F 중앙 사무실1_158.15', '172.18.158.15', 100371, 1, 1120, 0, '10.236.1.104', '59', None, None, None)
(1295, None, None, 'MaskShop_1F 중앙 사무실2_158.16', '172.18.158.16', 100371, 1, 1121, 0, '10.236.1.104', '60', None, None, None)
(1296, None, None, 'MaskShop_1F 중앙 인승E/V_158.17', '172.18.158.17', 100371, 1, 1122, 0, '10.236.1.104', '66', None, None, None)
(1297, None, None, 'MaskShop_1F 중앙 화물E/V_158.18', '172.18.158.18', 100371, 1, 1123, 0, '10.236.1.104', '67', None, None, None)
(1298, None, None, 'MaskShop_1F 중앙 사무실3_158.19', '172.18.158.19', 100371, 1, 1124, 0, '10.236.1.104', '68', None, None, None)
(1299, None, None, 'MaskShop_1F 중앙 사무실4_158.20', '172.18.158.20', 100371, 1, 1125, 0, '10.236.1.104', '70', None, None, None)
(1300, None, None, 'MaskShop_1F 중앙 사무실5_158.21', '172.18.158.21', 100371, 1, 1126, 0, '10.236.1.104', '74', None, None, None)
(1301, None, None, 'MaskShop_1F 북측 AIR LOCK_158.22', '172.18.158.22', 100371, 1, 1127, 0, '10.236.1.104', '75', None, None, None)
(1302, None, None, 'MaskShop_1F 북측 사무실_158.23', '172.18.158.23', 100371, 1, 1128, 0, '10.236.1.104', '91', None, None, None)
(1303, None, None, 'MaskShop_1F 북측 외곽출입문1_158.24', '172.18.158.24', 100371, 1, 1129, 0, '10.236.1.104', '92', None, None, None)
(1304, None, None, 'MaskShop_1F 북측 외곽출입문2_158.25', '172.18.158.25', 100371, 1, 1130, 0, '10.236.1.104', '93', None, None, None)
(1305, None, None, 'MaskShop_1F CCSS 외곽 출입문_158.26', '172.18.158.26', 100371, 1, 1131, 0, '10.236.1.104', '94', None, None, None)
(1306, None, None, 'MaskShop_1F 서측 계단실_158.27', '172.18.158.27', 100371, 1, 1132, 0, '10.236.1.104', '95', None, None, None)
(1311, None, None, 'MaskShop_2F 현장사무실2_158.32', '172.18.158.32', 100371, 1, 1133, 0, '10.236.1.104', '100', None, None, None)
(1321, None, None, 'MaskShop_1F 남측 물품반입구_158.11', '172.18.158.11', 100371, 1, 1134, 0, '10.236.1.104', '54', None, None, None)
(1323, None, None, 'MaskShop_2F 남측 AIR LOCK_158.33', '172.18.158.33', 100371, 1, 1135, 0, '10.236.1.103', '68', None, None, None)
(1324, None, None, 'MaskShop_2F 서측 계단실_158.41(공사완료 후 설치예정)', '172.18.158.41', 100371, 1, 1136, 0, '10.236.1.103', '69', None, None, None)
(1325, None, None, 'MaskShop_1F 서측 물품반입구_158.40', '172.18.158.40', 100371, 1, 1137, 0, '10.236.1.103', '70', None, None, None)
(1326, None, None, 'MaskShop_1F 서측 전기실 물품반입구_158.39', '172.18.158.39', 100371, 1, 1138, 0, '10.236.1.103', '71', None, None, None)
(1327, None, None, 'MaskShop_2F 북측사무실_158.38', '172.18.158.38', 100371, 1, 1139, 0, '10.236.1.103', '72', None, None, None)
(1328, None, None, 'MaskShop_2F 북측 AIR LOCK_158.37', '172.18.158.37', 100371, 1, 1140, 0, '10.236.1.103', '73', None, None, None)
(1329, None, None, 'MaskShop_2F SMOCK RM_158.36', '172.18.158.36', 100371, 1, 1141, 0, '10.236.1.103', '74', None, None, None)
(1330, None, None, 'MaskShop_2F 중앙 FAB출입구_158.35', '172.18.158.35', 100371, 1, 1142, 0, '10.236.1.103', '75', None, None, None)
(1331, None, None, 'MaskShop_2F 중앙사무실 출입구_158.34', '172.18.158.34', 100371, 1, 1143, 0, '10.236.1.103', '78', None, None, None)
(1332, None, None, 'MaskShop_1F 남측 반입구1_152.19', '172.18.152.19', 100371, 1, 1144, 0, '10.236.1.103', '79', None, None, None)
(1333, None, None, 'MaskShop_1F 남측 반입구2_152.20', '172.18.152.20', 100371, 1, 1145, 0, '10.236.1.103', '80', None, None, None)
(1334, None, None, 'MaskShop_1F 서측외곽1_151.154', '172.18.151.154', 100371, 1, 1146, 0, '10.236.1.103', '84', None, None, None)
(1336, None, None, 'MaskShop_1F 북측 외곽출입문2(내부)158.43', '172.18.158.43', 100371, 1, 1147, 0, '10.236.1.103', '85', None, None, None)
(1337, None, None, 'MaskShop_1F 남측 외곽출입문2(내부) 158.45', '172.18.158.45', 100371, 1, 1148, 0, '10.236.1.103', '86', None, None, None)
(1338, None, None, 'MaskShop_1F 북측 외곽출입문1(내부)158.42', '172.18.158.42', 100371, 1, 1149, 0, '10.236.1.103', '87', None, None, None)
(1339, None, None, 'MaskShop_1F 남측 외곽출입문1(내부) 158.44', '172.18.158.44', 100371, 1, 1150, 0, '10.236.1.103', '88', None, None, None)
(1340, None, None, 'MaskShop_1F 서측 외곽2_151.155', '172.18.151.155', 100371, 1, 1151, 0, '10.236.1.103', '89', None, None, None)
(1341, None, None, '1캠 PT2 뒤 삼거리_156.22', '172.18.156.22', 100371, 1, 1152, 0, '10.236.1.101', '34', None, None, None)
(1363, None, None, '3캠 주차타워 입구_171.98', '172.18.171.98', 100371, 1, 1153, 0, '10.236.1.104', '53', None, None, None)
(1364, None, None, '3캠 주차타워 출구_171.99', '172.18.171.99', 100371, 1, 1154, 0, '10.236.1.104', '96', None, None, None)
(1365, None, None, '1캠 154k앞_151.147', '172.18.151.147', 100371, 1, 1155, 0, '10.236.1.101', '128', None, None, None)
(1367, None, None, 'PT3 3F 북쪽 화물 반입구_162.86(공사로 인한 임시철거 08/11)', '172.18.162.86', 100371, 1, 1156, 0, '10.236.1.104', '44', None, None, None)
(1368, None, None, 'PT3 3F 동쪽 복도_162.87(공사로 인한 임시철거 08/11)', '172.18.162.87', 100371, 1, 1157, 0, '10.236.1.104', '97', None, None, None)
(1369, None, None, 'PT3 3F 5번 반입구_162.88(공사로 인한 임시철거 08/11)', '172.18.162.88', 100371, 1, 1158, 0, '10.236.1.104', '98', None, None, None)
(1370, None, None, 'PT3 3F 동쪽 EPS2_162.89(공사로 인한 임시철거 08/11)', '172.18.162.89', 100371, 1, 1159, 0, '10.236.1.104', '99', None, None, None)
(1371, None, None, 'PT3 3F AL#2_162.90', '172.18.162.90', 100371, 1, 1160, 0, '10.236.1.104', '101', None, None, None)
(1372, None, None, 'PT3 3F 남쪽 화물 반입구_162.95', '172.18.162.95', 100371, 1, 1161, 0, '10.236.1.104', '102', None, None, None)
(1373, None, None, 'PT3 3F 동쪽 건강관리실_162.91', '172.18.162.91', 100371, 1, 1162, 0, '10.236.1.104', '103', None, None, None)
(1374, None, None, 'PT3 3F 서쪽 Office R_162.96', '172.18.162.96', 100371, 1, 1163, 0, '10.236.1.104', '104', None, None, None)
(1375, None, None, 'PT3 3F 서쪽 Office L_162.97', '172.18.162.97', 100371, 1, 1164, 0, '10.236.1.104', '105', None, None, None)
